,Date,GOOGL Price,GOOGL Percent Change Rate
58,06-29-2016,34.7595,100.56852703758355
59,06-30-2016,35.1765,101.19967203210632
60,07-01-2016,35.5125,100.9551831478402
61,07-05-2016,35.2445,99.24533614924323
62,07-06-2016,35.4485,100.57881371561521
63,07-07-2016,35.363,99.75880502701101
64,07-08-2016,35.889,101.48743036507084
65,07-11-2016,36.36,101.3123798378333
66,07-12-2016,36.6255,100.73019801980199
67,07-13-2016,36.474,99.5863537699144
68,07-14-2016,36.79,100.86637056533421
69,07-15-2016,36.7815,99.97689589562381
70,07-18-2016,37.66,102.38842896564849
71,07-19-2016,37.6705,100.0278810408922
72,07-20-2016,37.854,100.48711856757942
73,07-21-2016,37.7205,99.64732921223649
74,07-22-2016,37.964,100.64553757240758
75,07-25-2016,37.876,99.76820145400906
76,07-26-2016,37.8825,100.01716126306897
77,07-27-2016,38.0985,100.57018412195605
78,07-28-2016,38.292,100.50789401157525
79,07-29-2016,39.567,103.3296772171733
80,08-01-2016,40.047,101.21313215558419
81,08-02-2016,40.006,99.89762029615204
82,08-03-2016,39.946,99.8500224966255
83,08-04-2016,39.8625,99.79096780653882
84,08-05-2016,40.3465,101.21417372216996
85,08-08-2016,40.2615,99.78932497242636
86,08-09-2016,40.374,100.27942327036996
87,08-10-2016,40.4245,100.12508049734978
88,08-11-2016,40.41,99.96413066333534
89,08-12-2016,40.3525,99.85770848799802
90,08-15-2016,40.298,99.86494021436096
91,08-16-2016,40.0595,99.40815921385676
92,08-17-2016,40.271,100.5279646525793
93,08-18-2016,40.1375,99.66849594000647
94,08-19-2016,39.9825,99.61382746807847
95,08-22-2016,39.8475,99.6623522791221
96,08-23-2016,39.8295,99.95482778091475
97,08-24-2016,39.68,99.62465007092732
98,08-25-2016,39.565,99.7101814516129
99,08-26-2016,39.661,100.24263869581702
100,08-29-2016,39.791,100.3277779178538
101,08-30-2016,39.596,99.50993943354025
102,08-31-2016,39.4925,99.73860996060209
103,09-01-2016,39.57,100.19623979236565
104,09-02-2016,39.8435,100.69118018701036
105,09-06-2016,40.401,101.39922446572216
106,09-07-2016,40.3995,99.99628722061335
107,09-08-2016,40.142,99.36261587395883
108,09-09-2016,39.424,98.21134970853468
109,09-12-2016,39.941,101.31138392857144
110,09-13-2016,39.436,98.73563506171602
111,09-14-2016,39.523,100.22061060959531
112,09-15-2016,40.0615,101.36249778609923
113,09-16-2016,39.8985,99.59312556943698
114,09-19-2016,39.7695,99.6766795744201
115,09-20-2016,39.989,100.55193049950337
116,09-21-2016,40.2515,100.65643051839257
117,09-22-2016,40.7975,101.35647118740916
118,09-23-2016,40.748,99.87866903609289
119,09-26-2016,40.1325,98.48949641700206
120,09-27-2016,40.5365,101.00666542079362
121,09-28-2016,40.503,99.91735843005686
122,09-29-2016,40.132,99.0840184677678
123,09-30-2016,40.203,100.17691617661717
124,10-03-2016,40.019,99.5423227122354
125,10-04-2016,40.1395,100.30110697418726
126,10-05-2016,40.0615,99.80567769902467
127,10-06-2016,40.154,100.23089499893914
128,10-07-2016,40.0355,99.70488618817551
129,10-10-2016,40.7085,101.68100810530653
130,10-11-2016,40.4785,99.43500743088052
131,10-12-2016,40.5885,100.2717492001927
132,10-13-2016,40.204,99.05268733754635
133,10-14-2016,40.23,100.06467018207144
134,10-17-2016,40.342,100.2783992045737
135,10-18-2016,41.0745,101.81572554657676
136,10-19-2016,41.3545,100.68168815201646
137,10-20-2016,41.0815,99.3398541875733
138,10-21-2016,41.203,100.29575356303933
139,10-24-2016,41.787,101.41737252141834
140,10-25-2016,41.4275,99.1396845909015
141,10-26-2016,41.105,99.22153159133424
142,10-27-2016,40.8675,99.42221140980416
143,10-28-2016,40.978,100.27038600354805
144,10-31-2016,40.495,98.82131875640586
145,11-01-2016,40.274,99.454253611557
146,11-02-2016,39.421,97.8820082435318
