,Date,Solana Price,Solana Percent Change Rate
277,05-15-2021,43.486,101.84074941451988
278,05-16-2021,46.85,107.73582302350182
279,05-17-2021,46.708,99.69690501600853
280,05-18-2021,55.977,119.8445662413291
281,05-19-2021,34.988,62.5042428140129
282,05-20-2021,44.42,126.95781410769406
283,05-21-2021,38.925,87.62944619540747
284,05-22-2021,31.222,80.21066152858062
285,05-23-2021,24.536,78.58561270898726
286,05-24-2021,31.416,128.0404303880013
287,05-25-2021,29.973,95.40679908326966
288,05-26-2021,35.43,118.20638574717246
289,05-27-2021,33.747,95.2497883149873
290,05-28-2021,28.989,85.90096897502
291,05-29-2021,27.388,94.47721549553279
292,05-30-2021,28.588,104.3814809405579
293,05-31-2021,32.75,114.55855603749825
294,06-01-2021,30.938,94.46717557251908
295,06-02-2021,33.994,109.87782015644191
296,06-03-2021,39.602,116.49702888745072
297,06-04-2021,37.338,94.28311701429222
298,06-05-2021,39.633,106.14655310943274
299,06-06-2021,42.205,106.48954154366311
300,06-07-2021,38.235,90.59353157208861
301,06-08-2021,41.245,107.87236824898652
302,06-09-2021,42.032,101.90811007394835
303,06-10-2021,41.105,97.79453749524171
304,06-11-2021,36.157,87.96253497141467
305,06-12-2021,36.476,100.88226346212352
306,06-13-2021,38.706,106.11360894834961
307,06-14-2021,39.694,102.55257582803698
308,06-15-2021,39.536,99.60195495540887
309,06-16-2021,39.728,100.48563334682315
310,06-17-2021,39.265,98.83457511075312
311,06-18-2021,36.82,93.77308035145803
312,06-19-2021,35.19,95.57305812058662
313,06-20-2021,35.257,100.19039499857914
314,06-21-2021,26.59,75.41764755934992
315,06-22-2021,26.958,101.38397893945093
316,06-23-2021,30.837,114.38904963276208
317,06-24-2021,31.141,100.98582871226125
318,06-25-2021,28.641,91.97199833017565
319,06-26-2021,29.698,103.6905135993855
320,06-27-2021,31.897,107.40453902619704
321,06-28-2021,33.001,103.46114054613287
322,06-29-2021,33.97,102.93627465834369
323,06-30-2021,35.51,104.53341183397116
324,07-01-2021,33.271,93.6947338777809
325,07-02-2021,34.0,102.19109735204832
326,07-03-2021,34.498,101.46470588235292
327,07-04-2021,34.28,99.36807930894545
328,07-05-2021,32.908,95.99766627771295
329,07-06-2021,34.226,104.0051051416069
330,07-07-2021,36.673,107.14953544089289
331,07-08-2021,33.142,90.37166307637771
332,07-09-2021,33.315,100.52199625852391
333,07-10-2021,31.693,95.13132222722498
334,07-11-2021,32.182,101.54292746032247
335,07-12-2021,30.77,95.6124541669256
336,07-13-2021,29.136,94.68963275918102
337,07-14-2021,31.365,107.65032948929158
338,07-15-2021,28.545,91.00908656145386
339,07-16-2021,26.271,92.03363110877561
340,07-17-2021,26.802,102.02124015073655
341,07-18-2021,26.673,99.518692634878
342,07-19-2021,24.509,91.88692685487197
343,07-20-2021,23.474,95.77706148761679
344,07-21-2021,26.7,113.74286444576978
345,07-22-2021,27.699,103.74157303370788
346,07-23-2021,28.516,102.94956496624425
347,07-24-2021,28.616,100.35068031982047
348,07-25-2021,28.248,98.71400615040538
349,07-26-2021,28.184,99.77343528745398
350,07-27-2021,28.103,99.71260289525972
351,07-28-2021,27.875,99.18869871543963
352,07-29-2021,31.235,112.05381165919282
353,07-30-2021,32.354,103.58251960941251
354,07-31-2021,36.744,113.5686468442851
355,08-01-2021,34.165,92.9811669932506
356,08-02-2021,33.167,97.0788818966779
357,08-03-2021,34.105,102.82811228027857
358,08-04-2021,35.76,104.85266090016128
359,08-05-2021,37.353,104.45469798657719
360,08-06-2021,39.525,105.81479399245039
361,08-07-2021,39.469,99.85831752055661
362,08-08-2021,37.65,95.39131976994602
363,08-09-2021,38.646,102.64541832669323
364,08-10-2021,40.64,105.15965429798686
365,08-11-2021,41.621,102.41387795275591
366,08-12-2021,41.102,98.75303332452367
367,08-13-2021,44.83,109.0701182424213
368,08-14-2021,44.14,98.46085210796343
369,08-15-2021,53.531,121.27548708654281
370,08-16-2021,62.016,115.85062860772261
371,08-17-2021,64.123,103.39751031991744
372,08-18-2021,72.663,113.31815417244981
373,08-19-2021,72.764,100.13899783934053
374,08-20-2021,78.643,108.07954482986094
375,08-21-2021,73.801,93.84306295538065
376,08-22-2021,72.775,98.60977493529899
377,08-23-2021,75.623,103.91343181037445
378,08-24-2021,70.527,93.26130939000039
379,08-25-2021,71.973,102.05027861669997
380,08-26-2021,74.92,104.09459102719076
381,08-27-2021,87.98,117.43192738921518
382,08-28-2021,96.22,109.36576494657876
383,08-29-2021,94.23,97.93182290584078
384,08-30-2021,110.25,117.00095510983763
385,08-31-2021,108.27,98.20408163265306
386,09-01-2021,110.71,102.25362519626859
387,09-02-2021,128.23,115.82512871465993
388,09-03-2021,146.4,114.16985104889652
389,09-04-2021,138.88,94.86338797814207
390,09-05-2021,142.0,102.24654377880185
391,09-06-2021,164.22,115.64788732394366
392,09-07-2021,173.46,105.62659846547315
393,09-08-2021,191.02,110.1233713824513
394,09-09-2021,187.9,98.36666317663072
395,09-10-2021,179.6,95.58275678552421
396,09-11-2021,179.04,99.6881959910913
397,09-12-2021,174.29,97.3469615728329
398,09-13-2021,169.53,97.26891961673074
399,09-14-2021,158.88,93.717926030791
400,09-15-2021,158.79,99.94335347432025
401,09-16-2021,152.29,95.90654323320108
402,09-17-2021,147.58,96.90721649484537
403,09-18-2021,169.22,114.66323350047432
404,09-19-2021,152.76,90.27301737383287
405,09-20-2021,132.77,86.91411364231475
406,09-21-2021,124.29,93.61301498832567
407,09-22-2021,148.02,119.09244508810042
408,09-23-2021,149.91,101.27685447912442
409,09-24-2021,139.13,92.80901874458009
410,09-25-2021,136.06,97.79343060447064
411,09-26-2021,135.64,99.69131265618108
412,09-27-2021,136.35,100.52344441167797
413,09-28-2021,132.2,96.95636230289695
414,09-29-2021,135.25,102.3071104387292
415,09-30-2021,141.37,104.52495378927911
416,10-01-2021,161.56,114.28167220768198
417,10-02-2021,168.98,104.59272097053724
418,10-03-2021,172.98,102.36714404071488
419,10-04-2021,167.13,96.61810613943808
420,10-05-2021,164.62,98.49817507329625
421,10-06-2021,153.87,93.46980925768436
422,10-07-2021,154.26,100.25346071358938
423,10-08-2021,158.86,102.98197847789447
424,10-09-2021,156.84,98.72844013596878
