datetime,open,high,low,close,volume,,,,,
9/9/2020,2.468,3.8838,2.3821,3.6001,6691121.99,,,,,
9/10/2020,3.6107,3.875,3.304,3.4761,4356890.66,,,,,
9/11/2020,3.4707,3.5036,3.0316,3.3965,2227636.94,,,,,
9/12/2020,3.3967,3.47,3.1494,3.3316,1161542.47,,,,,
9/13/2020,3.3386,3.47,2.9838,3.2603,2024779.41,,,,,
9/14/2020,3.2656,3.5393,3.0752,3.2641,3351649.61,,,,,
9/15/2020,3.264,3.3249,2.8955,2.9295,1698391.09,,,,,
9/16/2020,2.9288,2.9293,2.4282,2.5327,4886766.99,,,,,
9/17/2020,2.5376,2.9389,2.36,2.8829,4635747.31,,,,,
9/18/2020,2.883,3.16,2.726,3.1144,4169446.23,,,,,
9/19/2020,3.1084,3.2545,2.9564,3.031,1586219.86,,,,,
9/20/2020,3.0216,3.0319,2.7,2.8628,1456628.58,,,,,
9/21/2020,2.8628,3.0397,2.4689,2.7672,3567879.31,,,,,
9/22/2020,2.7571,3.0107,2.65,2.9082,3416786.33,,,,,
9/23/2020,2.9184,3.09,2.7001,2.8548,2762150.96,,,,,
9/24/2020,2.855,3.2571,2.7804,3.1433,2983701.04,,,,,
9/25/2020,3.1409,3.2766,2.9003,3.1937,2447843.22,,,,,
9/26/2020,3.185,3.25,3.03,3.1287,1357018.72,,,,,
9/27/2020,3.1292,3.1857,2.9819,3.1578,983815.86,,,,,
9/28/2020,3.1557,3.2109,2.908,2.9599,1306134.15,,,,,
9/29/2020,2.9549,3.027,2.8735,2.9505,950875.56,,,,,
9/30/2020,2.9447,2.9838,2.8228,2.8967,722757.83,,,,,
10/1/2020,2.8967,2.9889,2.65,2.8669,1373061.59,,,,,
10/2/2020,2.8667,2.8873,2.42,2.6232,2788493.11,,,,,
10/3/2020,2.6231,2.6708,2.5356,2.5439,547025.23,,,,,
10/4/2020,2.542,2.5898,2.42,2.5202,765399.21,,,,,
10/5/2020,2.5181,2.683,2.4561,2.6522,912587.17,,,,,
10/6/2020,2.6486,2.6604,2.13,2.174,1784025.33,,,,,
10/7/2020,2.1721,2.4083,2.081,2.3005,2087951.2,,,,,
10/8/2020,2.3001,2.4569,2.0123,2.3638,2759189.94,,,,,
10/9/2020,2.3686,2.63,2.303,2.5314,1878523.79,,,,,
10/10/2020,2.5274,2.6056,2.3873,2.3999,1278940.27,,,,,
10/11/2020,2.3988,2.4607,2.3401,2.4227,898764.08,,,,,
10/12/2020,2.4228,2.7044,2.4132,2.5836,2155387.01,,,,,
10/13/2020,2.5826,2.5867,2.336,2.4062,1951031.1,,,,,
10/14/2020,2.4061,2.4424,2.2331,2.3107,1125385.85,,,,,
10/15/2020,2.3108,2.3485,2.1932,2.2682,754909.09,,,,,
10/16/2020,2.2648,2.269,2.1071,2.1398,1546650.13,,,,,
10/17/2020,2.1374,2.2462,2.1107,2.2053,482249.55,,,,,
10/18/2020,2.2031,2.2595,2.1763,2.215,478921.26,,,,,
10/19/2020,2.2137,2.2148,2.05,2.0592,909217.19,,,,,
10/20/2020,2.0552,2.108,1.8401,1.885,1933167.04,,,,,
10/21/2020,1.8873,2.11,1.8415,1.8887,3222724.75,,,,,
10/22/2020,1.8868,2.09,1.8481,1.9582,1624778.09,,,,,
10/23/2020,1.9566,1.9902,1.85,1.959,1559992.35,,,,,
10/24/2020,1.9652,1.973,1.88,1.9142,748093.83,,,,,
10/25/2020,1.9175,1.9244,1.76,1.7926,1365865.99,,,,,
10/26/2020,1.7925,1.8685,1.6121,1.6799,2021871.84,,,,,
10/27/2020,1.6771,1.75,1.5906,1.711,2591150.26,,,,,
10/28/2020,1.7084,1.7255,1.4508,1.518,3354618.28,,,,,
10/29/2020,1.5166,1.5754,1.4148,1.4327,1233628.05,,,,,
10/30/2020,1.4328,1.4726,1.3163,1.4381,1401628.09,,,,,
10/31/2020,1.4383,1.558,1.4266,1.5497,851989.58,,,,,
11/1/2020,1.5497,1.6463,1.5137,1.608,960664.24,,,,,
11/2/2020,1.6076,1.6432,1.4621,1.4738,867738.07,,,,,
11/3/2020,1.4729,1.484,1.4062,1.4118,983164.88,,,,,
11/4/2020,1.4123,1.4144,1.2733,1.3912,2560523.86,,,,,
11/5/2020,1.3895,1.4928,1.3,1.4007,1598492.56,,,,,
11/6/2020,1.403,1.9482,1.3946,1.9,3846546.9,,,,,
11/7/2020,1.9069,2.4975,1.8276,2.0215,8862610.63,,,,,
11/8/2020,2.0264,2.2825,1.9608,2.1558,4800345.92,,,,,
11/9/2020,2.1515,2.1991,1.9456,2.0299,3050443.52,,,,,
11/10/2020,2.0383,2.3257,2.008,2.2661,2119423.36,,,,,
11/11/2020,2.2665,2.3,1.9673,2,1863686.19,,,,,
11/12/2020,2,2.06,1.825,1.9089,1522310.89,,,,,
11/13/2020,1.9089,2.0808,1.8997,2.0141,1595684.08,,,,,
11/14/2020,2.0222,2.0374,1.869,1.9182,1191847.42,,,,,
11/15/2020,1.9204,2.218,1.9133,2.0407,3348186.49,,,,,
11/16/2020,2.039,2.37,1.9858,2.2626,3192029.56,,,,,
11/17/2020,2.2665,2.33,2.125,2.1998,2311120.85,,,,,
11/18/2020,2.1962,2.2173,2.0001,2.1153,2054379.16,,,,,
11/19/2020,2.1122,2.1848,2.0136,2.085,1391861.95,,,,,
11/20/2020,2.0841,2.2387,2.0521,2.1033,1589414.51,,,,,
11/21/2020,2.0999,2.51,2.0351,2.3822,2963489.5,,,,,
11/22/2020,2.3825,2.4201,2.04,2.1514,2448127.25,,,,,
11/23/2020,2.161,2.3635,2.112,2.2786,2094160.76,,,,,
11/24/2020,2.2786,2.4731,2.1338,2.2823,3534792.04,,,,,
11/25/2020,2.2795,2.49,2.1703,2.2661,3597681.61,,,,,
11/26/2020,2.2653,2.3101,1.7212,1.9111,6803274.72,,,,,
11/27/2020,1.9117,2.04,1.7694,1.861,1802241.32,,,,,
11/28/2020,1.8644,1.94,1.8016,1.8868,1381390.77,,,,,
11/29/2020,1.8858,1.947,1.85,1.9153,862711.64,,,,,
11/30/2020,1.9184,2.0182,1.9034,1.9665,1094620.01,,,,,
12/1/2020,1.9641,2.1404,1.9168,1.9738,2102911.64,,,,,
12/2/2020,1.9702,2.2098,1.9333,2.1209,2203748.48,,,,,
12/3/2020,2.119,2.2279,2.074,2.0967,3182362.33,,,,,
12/4/2020,2.0967,2.1123,1.836,1.8535,1424943.39,,,,,
12/5/2020,1.8507,1.983,1.82,1.9795,1087998.4,,,,,
12/6/2020,1.9795,1.9907,1.7956,1.8505,1125736.37,,,,,
12/7/2020,1.8515,1.899,1.8088,1.8272,962743.7,,,,,
12/8/2020,1.8301,1.8301,1.6211,1.6631,2296665.59,,,,,
12/9/2020,1.66,1.6777,1.5,1.6592,2093499.32,,,,,
12/10/2020,1.6599,1.6664,1.5395,1.5683,1061425.89,,,,,
12/11/2020,1.5739,1.5774,1.4328,1.4389,1429080.75,,,,,
12/12/2020,1.4368,1.5382,1.4366,1.4912,1423640.73,,,,,
12/13/2020,1.4909,1.7,1.4578,1.5701,1749534.43,,,,,
12/14/2020,1.5651,1.6253,1.5224,1.5946,1503571.44,,,,,
12/15/2020,1.594,1.8039,1.5875,1.7586,3562068.86,,,,,
12/16/2020,1.7577,1.7919,1.6025,1.7829,3098111.32,,,,,
12/17/2020,1.78,1.8064,1.6382,1.68,2528060.41,,,,,
12/18/2020,1.6769,1.7077,1.6307,1.7014,1127224.49,,,,,
12/19/2020,1.6987,1.7677,1.6595,1.6707,1332107.96,,,,,
12/20/2020,1.6706,1.6889,1.521,1.5635,1368277.59,,,,,
12/21/2020,1.5605,1.62,1.49,1.5331,1265977.95,,,,,
12/22/2020,1.5354,1.5799,1.47,1.49,2035459.3,,,,,
12/23/2020,1.49,1.5126,1.0301,1.198,4351555.9,,,,,
12/24/2020,1.1987,1.3888,1.1652,1.3612,1784967.07,,,,,
12/25/2020,1.3641,1.4599,1.3417,1.4464,1391332.89,,,,,
12/26/2020,1.4488,1.4497,1.3118,1.3258,912192.33,,,,,
12/27/2020,1.324,1.417,1.2616,1.3037,2170898.45,,,,,
12/28/2020,1.3041,1.5223,1.2867,1.5172,2158620.57,,,,,
12/29/2020,1.5187,1.735,1.4388,1.6704,4870104.61,,,,,
12/30/2020,1.6734,1.6903,1.5235,1.535,2171296.28,,,,,
12/31/2020,1.5337,1.5523,1.42,1.5073,2169627.35,,,,,
1/1/2021,1.5088,1.86,1.499,1.8421,4421991.45,,,,,
1/2/2021,1.8421,2,1.7116,1.7999,5253819.62,,,,,
1/3/2021,1.7998,2.38,1.7973,2.1779,8318341.13,,,,,
1/4/2021,2.1789,2.4989,1.86,2.4909,7800814.8,,,,,
1/5/2021,2.4911,2.5093,2.0621,2.1636,6702006.99,,,,,
1/6/2021,2.1636,2.189,1.9017,1.9414,8451529.47,,,,,
1/7/2021,1.9404,2.65,1.9214,2.3635,30861006.24,,,,,
1/8/2021,2.3655,3.8,2.175,3.2214,29866396.67,,,,,
1/9/2021,3.212,3.6998,2.93,3.3829,9881188.65,,,,,
1/10/2021,3.3734,3.7517,3.1556,3.449,5819813.51,,,,,
1/11/2021,3.4455,3.5282,2.5795,3.1016,8755693.07,,,,,
1/12/2021,3.1016,3.88,3.058,3.6354,7075911.68,,,,,
1/13/2021,3.6354,3.637,3.2633,3.5242,5123655.8,,,,,
1/14/2021,3.5243,3.5955,3.1814,3.2921,6422109.73,,,,,
1/15/2021,3.2921,3.4489,2.9618,3.2475,4812542.83,,,,,
1/16/2021,3.2479,3.7081,3.2463,3.4247,8562549.63,,,,,
1/17/2021,3.4251,3.9876,3.3,3.8268,8531899.81,,,,,
1/18/2021,3.8243,4.17,3.6167,3.7868,6226924.77,,,,,
1/19/2021,3.7873,4.0498,3.6,3.6287,4768719.77,,,,,
1/20/2021,3.6288,3.7413,3.34,3.7166,4801640.28,,,,,
1/21/2021,3.7199,3.7411,2.9717,2.9899,4385838.62,,,,,
1/22/2021,2.9893,3.4992,2.5295,3.3352,6481502.65,,,,,
1/23/2021,3.3302,3.6,3.3056,3.5079,2269454.7,,,,,
1/24/2021,3.5018,3.79,3.4781,3.6278,2457759.67,,,,,
1/25/2021,3.6287,3.9928,3.4398,3.7038,6791542.33,,,,,
1/26/2021,3.7036,4.097,3.6478,4.041,6618303.9,,,,,
1/27/2021,4.0418,4.0422,3.5114,3.675,2491757.82,,,,,
1/28/2021,3.664,3.96,3.6,3.81,2055425.01,,,,,
1/29/2021,3.8092,3.912,3.6,3.8293,2992168.86,,,,,
1/30/2021,3.8301,4.3179,3.7667,4.228,3944655.04,,,,,
1/31/2021,4.228,4.805,4.154,4.2525,5438870.48,,,,,
2/1/2021,4.2568,4.617,4.1075,4.6148,2097052.47,,,,,
2/2/2021,4.6148,5.4026,4.4632,5.2331,5278922.61,,,,,
2/3/2021,5.243,5.783,5.0513,5.7311,3977458.72,,,,,
2/4/2021,5.7339,6.5426,5.5676,6.4085,5609382.39,,,,,
2/5/2021,6.4181,7.1438,6.4086,6.7005,4235525.49,,,,,
2/6/2021,6.7001,6.8181,5.7,6.1225,5040208.25,,,,,
2/7/2021,6.1219,6.8807,5.75,6.6976,5111066.89,,,,,
2/8/2021,6.6931,8.078,6.4554,7.855,6719151.08,,,,,
2/9/2021,7.8651,8.4945,7.55,7.8005,4803489.37,,,,,
2/10/2021,7.8005,9.09,7.26,9.09,4419421.79,,,,,
2/11/2021,9.0897,9.7425,8.72,9.2004,5694878.77,,,,,
2/12/2021,9.2058,9.93,9.0353,9.2,2867258.84,,,,,
2/13/2021,9.2007,9.5117,8.658,8.7441,3487478.68,,,,,
2/14/2021,8.7448,9.23,8.5293,8.7158,2889949.04,,,,,
2/15/2021,8.7234,9.38,7.7,8.8516,3424896.19,,,,,
2/16/2021,8.866,9,7.9601,8.3002,2257217.69,,,,,
2/17/2021,8.3035,8.45,7.5182,8.2357,3331645.44,,,,,
2/18/2021,8.2412,9.32,8.23,8.9771,2479859.19,,,,,
2/19/2021,8.988,11.85,8.5257,11.4912,7106323.06,,,,,
2/20/2021,11.4845,11.8327,9.754,9.9869,4731324.37,,,,,
2/21/2021,9.9849,11.6707,9.8101,11.0753,3694265.15,,,,,
2/22/2021,11.0738,14.8,9.1,14.4191,14711670.8,,,,,
2/23/2021,14.4176,15.8888,11.47,15.2244,24306320.76,,,,,
2/24/2021,15.2389,18.2052,14.7917,17.1691,10777544.75,,,,,
2/25/2021,17.1745,17.69,13.6579,13.8442,9520373.92,,,,,
2/26/2021,13.8565,15.5083,13.1,13.5962,8029513.17,,,,,
2/27/2021,13.5864,14.8359,13.01,13.1916,6232463.19,,,,,
2/28/2021,13.1853,13.7739,11.417,13.0887,7231344.75,,,,,
3/1/2021,13.08,15.5469,13.0102,14.9855,5511248.26,,,,,
3/2/2021,14.9989,15.25,13.3544,13.9438,4128426.11,,,,,
3/3/2021,13.9546,14.738,13.7018,14.0742,3277327.93,,,,,
3/4/2021,14.0936,14.2737,12.736,13.0508,2764372.37,,,,,
3/5/2021,13.0649,13.0992,12.1251,12.5382,2069391.25,,,,,
3/6/2021,12.5507,13.31,11.9,13.0421,3061674.23,,,,,
3/7/2021,13.0443,14.014,12.7049,13.8174,2999418.25,,,,,
3/8/2021,13.8174,13.906,12.996,13.6028,2116684.52,,,,,
3/9/2021,13.608,14.9921,13.1985,14.839,2594490.9,,,,,
3/10/2021,14.85,15.2118,14.0525,14.2048,1943926.1,,,,,
3/11/2021,14.2011,16.3222,13.67,16.031,4125742.57,,,,,
3/12/2021,16.0519,16.5,14.0803,14.5597,3678388.38,,,,,
3/13/2021,14.5532,15.4072,13.8439,15.3033,2632320.37,,,,,
3/14/2021,15.2902,15.376,14.3399,14.4605,1750244.94,,,,,
3/15/2021,14.461,14.8214,13.6179,14.1577,2020949.93,,,,,
3/16/2021,14.1586,14.2933,13.1389,13.6392,2501657.49,,,,,
3/17/2021,13.6379,14.2685,13.0326,14.2018,1703006.56,,,,,
3/18/2021,14.1987,14.75,13.957,14.204,1576671.71,,,,,
3/19/2021,14.2153,14.4883,13.8554,14.1552,1461762.29,,,,,
3/20/2021,14.1588,14.9793,14.09,14.1894,1393209.56,,,,,
3/21/2021,14.1788,14.3636,13.638,14.3372,1191850.82,,,,,
3/22/2021,14.3372,16.59,14.1697,14.7964,5102991.54,,,,,
3/23/2021,14.7962,15.227,14.0146,14.1552,2004427.43,,,,,
3/24/2021,14.1433,15.3719,13.5842,13.5973,2317339.72,,,,,
3/25/2021,13.5844,13.7329,12.47,12.9787,2292323.1,,,,,
3/26/2021,12.9789,14.7921,12.3043,14.7664,2972281.77,,,,,
3/27/2021,14.7751,16.8,14.7173,16.4589,4053893.7,,,,,
3/28/2021,16.4516,19.38,16.3049,18.0645,7200727.49,,,,,
3/29/2021,18.0645,19,17.6439,18.9504,3064381.78,,,,,
3/30/2021,18.9504,20.87,18.9105,19.0685,3808354.1,,,,,
3/31/2021,19.0645,19.8154,18,19.3861,2784733.45,,,,,
4/1/2021,19.3818,20.3583,18.7433,19.0443,2230609.34,,,,,
4/2/2021,19.0443,19.8003,18.345,19.7501,1773300.55,,,,,
4/3/2021,19.7513,23.8476,19.7228,22.5,6266319.5,,,,,
4/4/2021,22.4672,25.5309,21.9867,23.7755,5274539.83,,,,,
4/5/2021,23.7755,24.78,22.7664,22.9717,2821214.21,,,,,
4/6/2021,22.9876,25.3,21.7554,25.0548,3326493.23,,,,,
4/7/2021,25.0548,27.5203,22.9078,26.5385,7815658.63,,,,,
4/8/2021,26.537,27.9951,25.6431,26.9384,4209553.61,,,,,
4/9/2021,26.9261,29,26.7097,27.6172,3037133.3,,,,,
4/10/2021,27.6194,28.2948,25.9017,26.8021,2705997.06,,,,,
4/11/2021,26.7993,28.649,25.5131,27.8517,2517685.81,,,,,
4/12/2021,27.8598,29.9295,26.8049,28.5424,2842013.26,,,,,
4/13/2021,28.5266,28.8162,26.2616,27.4507,2275774.43,,,,,
4/14/2021,27.4571,27.5613,24.7,26.4067,3623963.28,,,,,
4/15/2021,26.4182,28.2,25.4479,27.7816,2146653.64,,,,,
4/16/2021,27.7946,28.2571,24.8547,25.2996,2673912.32,,,,,
4/17/2021,25.2926,26.7914,24.8181,24.85,2442737.39,,,,,
4/18/2021,24.8517,32.99,21.1,32.3358,11699397.05,,,,,
4/19/2021,32.3324,36.095,29.8066,31.4711,12075270.9,,,,,
4/20/2021,31.5303,32.8,28.81,31.7028,7036100.92,,,,,
4/21/2021,31.6939,35.1801,30.1101,32.5534,6573327.09,,,,,
4/22/2021,32.5965,41.1587,31.4586,38.9,14017530.86,,,,,
4/23/2021,38.8718,41.74,31.4936,37.3893,14705148.48,,,,,
4/24/2021,37.3018,43.6397,34.5861,40.8401,9722785.06,,,,,
4/25/2021,40.8525,48.644,40.572,47.405,11964753.8,,,,,
4/26/2021,47.395,48.499,43.267,43.878,11079170.6,,,,,
4/27/2021,43.884,46.606,42.5,43.147,7101848.718,,,,,
4/28/2021,43.147,46.962,40.516,44.833,7855066.319,,,,,
4/29/2021,44.831,46.233,40.906,42.484,5805381.221,,,,,
4/30/2021,42.452,44.313,41.21,42.786,3302673.311,,,,,
5/1/2021,42.786,49.88,42.001,49.67,5804048.045,,,,,
5/2/2021,49.646,49.99,45.904,46.897,3794411.245,,,,,
5/3/2021,46.926,49,44.774,45.912,3686007.369,,,,,
5/4/2021,45.935,47.81,42.26,42.636,4180557.381,,,,,
5/5/2021,42.636,46,42.305,44.98,2772821.523,,,,,
5/6/2021,44.965,44.98,42.55,43.496,2337263.012,,,,,
5/7/2021,43.496,46.243,41.42,43.182,3259646.399,,,,,
5/8/2021,43.154,46.65,42.275,45.612,2539093.011,,,,,
5/9/2021,45.632,47.15,42.6,44.33,3095018.717,,,,,
5/10/2021,44.33,45.89,39,42.854,2869549.017,,,,,
5/11/2021,42.868,45.18,39.7,44.538,2758407.694,,,,,
5/12/2021,44.579,49.243,42.18,43.709,7592760.128,,,,,
5/13/2021,43.394,45.501,37.43,41.049,7162647.061,,,,,
5/14/2021,41.051,44.897,39.901,42.7,3421838.277,,,,,
5/15/2021,42.697,45.5,39.305,43.486,3357108.617,,,,,
5/16/2021,43.462,52.6,41.602,46.85,13162867.43,,,,,
5/17/2021,46.85,51.985,43.01,46.708,13839076.48,,,,,
5/18/2021,46.747,58.38,46.051,55.977,12538546.7,,,,,
5/19/2021,55.969,57.691,26.5,34.988,22259967.85,,,,,
5/20/2021,34.987,53,32,44.42,17869805.91,,,,,
5/21/2021,44.367,47.7,33.673,38.925,13740700.64,,,,,
5/22/2021,38.925,40,31.134,31.222,10122098.01,,,,,
5/23/2021,31.222,32.4,19.117,24.536,25787150.86,,,,,
5/24/2021,24.53,32.19,24.496,31.416,15414302.32,,,,,
5/25/2021,31.42,33.195,25.915,29.973,10300933.61,,,,,
5/26/2021,29.985,37.25,28.858,35.43,10601343.23,,,,,
5/27/2021,35.427,35.594,30.976,33.747,5698854.676,,,,,
5/28/2021,33.761,34.551,28,28.989,6370726.751,,,,,
5/29/2021,28.993,30.066,25.7,27.388,3911549.6,,,,,
5/30/2021,27.407,29.781,25.586,28.588,3964240.919,,,,,
5/31/2021,28.573,33.014,27.489,32.75,5173286.471,,,,,
6/1/2021,32.759,33.285,29.852,30.938,4046865.202,,,,,
6/2/2021,30.931,35.129,30.402,33.994,4549289.133,,,,,
6/3/2021,33.994,41.523,33.736,39.602,7862225.094,,,,,
6/4/2021,39.599,39.737,34.187,37.338,8825815.938,,,,,
6/5/2021,37.356,42.787,36.982,39.633,8654823.195,,,,,
6/6/2021,39.663,43.4,38.912,42.205,6151664.294,,,,,
6/7/2021,42.2,44.2,37.8,38.235,8050031.335,,,,,
6/8/2021,38.2,42.596,33.6,41.245,16902544.68,,,,,
6/9/2021,41.245,44,39.291,42.032,10764252.94,,,,,
6/10/2021,42.032,43.097,39.459,41.105,5155108.071,,,,,
6/11/2021,41.091,41.376,35.074,36.157,4760990.078,,,,,
6/12/2021,36.131,37.64,34.1,36.476,5196242.998,,,,,
6/13/2021,36.492,39.442,34.72,38.706,4063329.112,,,,,
6/14/2021,38.713,40.561,36.627,39.694,4590144.279,,,,,
6/15/2021,39.7,41.741,39.154,39.536,3725999.561,,,,,
6/16/2021,39.513,41.75,37.455,39.728,5055331.868,,,,,
6/17/2021,39.73,41.264,38.211,39.265,3274621.978,,,,,
6/18/2021,39.259,39.502,34.898,36.82,3777138.806,,,,,
6/19/2021,36.802,37.318,34.901,35.19,2216638.028,,,,,
6/20/2021,35.195,35.949,31.3,35.257,3938821.53,,,,,
6/21/2021,35.248,35.499,25.925,26.59,8213916.627,,,,,
6/22/2021,26.597,28.813,20.187,26.958,15788825.96,,,,,
6/23/2021,26.957,32.9,25.626,30.837,11966311.25,,,,,
6/24/2021,30.835,33,28.481,31.141,7214092.912,,,,,
6/25/2021,31.144,32.989,27.949,28.641,7293143.176,,,,,
6/26/2021,28.619,30.181,26.659,29.698,6492984.234,,,,,
6/27/2021,29.691,31.95,29.186,31.897,5851211.914,,,,,
6/28/2021,31.883,34.34,30.961,33.001,4996728.013,,,,,
6/29/2021,33.018,35.837,32.665,33.97,4476285.792,,,,,
6/30/2021,33.974,36,31.555,35.51,5361423.665,,,,,
7/1/2021,35.51,35.567,32.17,33.271,4488924.899,,,,,
7/2/2021,33.27,34.217,31.367,34,4324198.276,,,,,
7/3/2021,34.001,35.406,33.217,34.498,3063406.141,,,,,
7/4/2021,34.497,35.531,33.533,34.28,2972213.418,,,,,
7/5/2021,34.278,34.49,32.37,32.908,3008984.082,,,,,
7/6/2021,32.908,35.041,32.883,34.226,3289698.061,,,,,
7/7/2021,34.221,38.1,33.82,36.673,4609258.553,,,,,
7/8/2021,36.667,36.934,32.654,33.142,4495022.54,,,,,
7/9/2021,33.134,34.46,31.976,33.315,2810263.602,,,,,
7/10/2021,33.315,34.215,31.025,31.693,2838074.586,,,,,
7/11/2021,31.716,32.568,31.3,32.182,1944815.804,,,,,
7/12/2021,32.173,32.696,30.011,30.77,2251239.269,,,,,
7/13/2021,30.77,31.096,28.81,29.136,1837132.436,,,,,
7/14/2021,29.154,31.5,27.363,31.365,3434185.178,,,,,
7/15/2021,31.365,31.485,27.975,28.545,3643011.529,,,,,
7/16/2021,28.562,29.478,26.196,26.271,2923575.792,,,,,
7/17/2021,26.269,27.836,25.979,26.802,2122389.101,,,,,
7/18/2021,26.789,27.756,26.233,26.673,1727601.788,,,,,
7/19/2021,26.679,26.71,23.975,24.509,3131177.977,,,,,
7/20/2021,24.524,24.982,22.1,23.474,3555428.542,,,,,
7/21/2021,23.484,27.461,22.8,26.7,4561993.007,,,,,
7/22/2021,26.706,28.17,25.91,27.699,2643783.144,,,,,
7/23/2021,27.7,28.713,26.385,28.516,3040520.321,,,,,
7/24/2021,28.53,29.548,28.013,28.616,2678108.81,,,,,
7/25/2021,28.626,28.898,26.5,28.248,2350991.534,,,,,
7/26/2021,28.247,31.115,27.83,28.184,6221691.897,,,,,
7/27/2021,28.183,28.95,26.893,28.103,3008374.757,,,,,
7/28/2021,28.119,28.76,27.354,27.875,2329901.559,,,,,
7/29/2021,27.891,31.888,27.319,31.235,3692050.445,,,,,
7/30/2021,31.238,33.084,29.91,32.354,4970660.009,,,,,
7/31/2021,32.354,37.004,31.653,36.744,4320145.537,,,,,
8/1/2021,36.742,36.822,33.165,34.165,3490975.158,,,,,
8/2/2021,34.178,35.95,33,33.167,3105881.294,,,,,
8/3/2021,33.177,35.9,32.327,34.105,3490191.638,,,,,
8/4/2021,34.094,36.658,33.236,35.76,2847838.669,,,,,
8/5/2021,35.757,38.267,35.5,37.353,4059371.083,,,,,
8/6/2021,37.354,40.4,35.611,39.525,3951317.574,,,,,
8/7/2021,39.502,40.5,37.502,39.469,3561767.701,,,,,
8/8/2021,39.454,39.549,36.896,37.65,2030535.723,,,,,
8/9/2021,37.653,39.999,36.351,38.646,2128198.741,,,,,
8/10/2021,38.646,41.678,38.183,40.64,2603195.665,,,,,
8/11/2021,40.639,43.729,40.605,41.621,2512250.555,,,,,
8/12/2021,41.619,43.401,39.316,41.102,2413664.412,,,,,
8/13/2021,41.105,44.911,40.668,44.83,2281339.99,,,,,
8/14/2021,44.859,44.874,42.727,44.14,1548818.722,,,,,
8/15/2021,44.124,54.8,43.361,53.531,6264283.565,,,,,
8/16/2021,53.515,69.132,52.269,62.016,15014364.93,,,,,
8/17/2021,62.042,75.155,58.822,64.123,14953825.95,,,,,
8/18/2021,64.135,80.5,59.722,72.663,15022132.45,,,,,
8/19/2021,72.659,75.436,68.24,72.764,7819221.598,,,,,
8/20/2021,72.8,80,70.873,78.643,5705076.722,,,,,
8/21/2021,78.684,82,72.6,73.801,5131799.362,,,,,
8/22/2021,73.852,77.6,71.244,72.775,2862187.053,,,,,
8/23/2021,72.751,76.81,71.545,75.623,4150780.595,,,,,
8/24/2021,75.647,79.45,68.5,70.527,6792636.137,,,,,
8/25/2021,70.519,72.83,66.03,71.973,5069064.804,,,,,
8/26/2021,71.982,78.3,66.2,74.92,6563670.747,,,,,
8/27/2021,74.92,88.92,72.55,87.98,8785637.093,,,,,
8/28/2021,87.98,97.82,85.59,96.22,5774371.258,,,,,
8/29/2021,96.17,97.82,90.3,94.23,4171861.65,,,,,
8/30/2021,94.23,116.84,93.58,110.25,11109542.62,,,,,
8/31/2021,110.26,130.11,103.06,108.27,16509565.59,,,,,
9/1/2021,108.27,119.72,105.89,110.71,8028303.79,,,,,
9/2/2021,110.71,131.96,109.18,128.23,9206853.472,,,,,
9/3/2021,128.2,148.99,128.12,146.4,11927061.37,,,,,
