,Date,TSLA Price,TSLA Percent Change Rate
431,12-20-2017,21.932,99.35986010247674
432,12-21-2017,22.1107,100.81479117271567
433,12-22-2017,21.68,98.05207433505045
434,12-26-2017,21.1527,97.56780442804428
435,12-27-2017,20.776,98.21913987339677
436,12-28-2017,21.024,101.1936850211783
437,12-29-2017,20.7567,98.72859589041096
438,01-02-2018,21.3687,102.94844556215583
439,01-03-2018,21.15,98.97654045402855
440,01-04-2018,20.9747,99.17115839243499
441,01-05-2018,21.1053,100.62265491282353
442,01-08-2018,22.4273,106.26382946463684
443,01-09-2018,22.246,99.19161022503823
444,01-10-2018,22.32,100.33264407084421
445,01-11-2018,22.53,100.94086021505377
446,01-12-2018,22.4147,99.48823790501552
447,01-16-2018,22.6707,101.14210763472187
448,01-17-2018,23.144,102.08771674452046
449,01-18-2018,22.9713,99.25380228136883
450,01-19-2018,23.3347,101.5819740284616
451,01-22-2018,23.4373,100.4396885325288
452,01-23-2018,23.5193,100.34986965222103
453,01-24-2018,23.0593,98.04415947753546
454,01-25-2018,22.5093,97.6148452034537
455,01-26-2018,22.8567,101.54336207700818
456,01-29-2018,23.302,101.94822524686415
457,01-30-2018,23.0547,98.93871770663463
458,01-31-2018,23.6207,102.45503086138619
459,02-01-2018,23.2833,98.57159186645612
460,02-02-2018,22.9167,98.4254809240958
461,02-05-2018,22.2087,96.91054994829099
462,02-06-2018,22.2647,100.25215343536541
463,02-07-2018,23.00,103.30253720014193
464,02-08-2018,21.0153,91.37086956521739
465,02-09-2018,20.6947,98.47444480925802
466,02-12-2018,21.0487,101.71058290286885
467,02-13-2018,21.5773,102.51131898882117
468,02-14-2018,21.4873,99.58289498686119
469,02-15-2018,22.271,103.64727071339814
470,02-16-2018,22.366,100.42656369269454
471,02-20-2018,22.318,99.78538853617098
472,02-21-2018,22.22,99.56089255309615
473,02-22-2018,23.078,103.86138613861387
474,02-23-2018,23.47,101.6985873992547
475,02-26-2018,23.828,101.52535151256924
476,02-27-2018,23.3993,98.20085613563874
477,02-28-2018,22.8707,97.74095806284802
478,03-01-2018,22.062,96.46403476937742
479,03-02-2018,22.3413,101.2659776992113
480,03-05-2018,22.2233,99.47183019788463
481,03-06-2018,21.88,98.45522492159131
482,03-07-2018,22.1533,101.24908592321755
483,03-08-2018,21.94,99.03716376341222
484,03-09-2018,21.8113,99.4134001823154
485,03-12-2018,23.034,105.60580983251802
486,03-13-2018,22.7893,98.9376573760528
487,03-14-2018,21.7753,95.55054345679771
488,03-15-2018,21.7067,99.6849641566362
489,03-16-2018,21.4233,98.6944123243054
490,03-19-2018,20.904,97.57600369690942
491,03-20-2018,20.7033,99.03989667049368
492,03-21-2018,21.102,101.92577994812422
493,03-22-2018,20.6067,97.65282911572363
494,03-23-2018,20.1027,97.5541935389946
495,03-26-2018,20.2787,100.87550428549399
496,03-27-2018,18.612,91.7810313284382
497,03-28-2018,17.1853,92.33451536643028
498,03-29-2018,17.742,103.23939646092882
499,04-02-2018,16.832,94.87092774208094
500,04-03-2018,17.8353,105.96067015209125
501,04-04-2018,19.1293,107.25527465195428
502,04-05-2018,20.3813,106.54493368811195
503,04-06-2018,19.9533,97.9000358171461
504,04-09-2018,19.3107,96.77948008600083
505,04-10-2018,20.3133,105.19194021967095
506,04-11-2018,20.062,98.76287949274612
507,04-12-2018,19.6053,97.72355697338251
508,04-13-2018,20.0227,102.12901613339251
