Date, Open, High, Low, Close
05/12/25, 1892.45, 1892.45, 1892.45, 1892.45
05/09/25, 1956.89, 1956.89, 1956.89, 1956.89
05/08/25, 1931.46, 1931.46, 1931.46, 1931.46
05/07/25, 1978.20, 1978.20, 1978.20, 1978.20
05/06/25, 1992.78, 1992.78, 1992.78, 1992.78
05/05/25, 1934.27, 1934.27, 1934.27, 1934.27
05/02/25, 1888.27, 1888.27, 1888.27, 1888.27
05/01/25, 1875.99, 1875.99, 1875.99, 1875.99
04/30/25, 1932.41, 1932.41, 1932.41, 1932.41
04/29/25, 1940.85, 1940.85, 1940.85, 1940.85
04/28/25, 1949.06, 1949.06, 1949.06, 1949.06
04/25/25, 1920.35, 1920.35, 1920.35, 1920.35
04/24/25, 1949.58, 1949.58, 1949.58, 1949.58
04/23/25, 1917.85, 1917.85, 1917.85, 1917.85
04/22/25, 1990.80, 1990.80, 1990.80, 1990.80
04/21/25, 1994.24, 1994.24, 1994.24, 1994.24
04/17/25, 1937.82, 1937.82, 1937.82, 1937.82
04/16/25, 1948.30, 1948.30, 1948.30, 1948.30
04/15/25, 1886.59, 1886.59, 1886.59, 1886.59
04/14/25, 1878.38, 1878.38, 1878.38, 1878.38
04/11/25, 1889.03, 1889.03, 1889.03, 1889.03
04/10/25, 1849.96, 1849.96, 1849.96, 1849.96
04/09/25, 1792.85, 1792.85, 1792.85, 1792.85
04/08/25, 1740.92, 1740.92, 1740.92, 1740.92
04/07/25, 1731.25, 1731.25, 1731.25, 1731.25
04/04/25, 1767.23, 1767.23, 1767.23, 1767.23
04/03/25, 1817.48, 1817.48, 1817.48, 1817.48
04/02/25, 1843.39, 1843.39, 1843.39, 1843.39
04/01/25, 1831.63, 1831.63, 1831.63, 1831.63
03/31/25, 1834.13, 1834.13, 1834.13, 1834.13
03/28/25, 1813.17, 1813.17, 1813.17, 1813.17
03/27/25, 1799.55, 1799.55, 1799.55, 1799.55
03/26/25, 1777.07, 1777.07, 1777.07, 1777.07
03/25/25, 1778.24, 1778.24, 1778.24, 1778.24
03/24/25, 1772.24, 1772.24, 1772.24, 1772.24
03/21/25, 1774.80, 1774.80, 1774.80, 1774.80
03/20/25, 1788.13, 1788.13, 1788.13, 1788.13
03/19/25, 1786.85, 1786.85, 1786.85, 1786.85
03/18/25, 1786.74, 1786.74, 1786.74, 1786.74
03/17/25, 1766.48, 1766.48, 1766.48, 1766.48
03/14/25, 1763.45, 1763.45, 1763.45, 1763.45
03/13/25, 1757.98, 1757.98, 1757.98, 1757.98
03/12/25, 1728.69, 1728.69, 1728.69, 1728.69
03/11/25, 1710.39, 1710.39, 1710.39, 1710.39
03/10/25, 1694.60, 1694.60, 1694.60, 1694.60
03/07/25, 1699.96, 1699.96, 1699.96, 1699.96
03/06/25, 1703.89, 1703.89, 1703.89, 1703.89
03/05/25, 1703.54, 1703.54, 1703.54, 1703.54
03/04/25, 1700.40, 1700.40, 1700.40, 1700.40
03/03/25, 1689.04, 1689.04, 1689.04, 1689.04
02/28/25, 1658.42, 1658.42, 1658.42, 1658.42
02/27/25, 1686.02, 1686.02, 1686.02, 1686.02
02/26/25, 1706.22, 1706.22, 1706.22, 1706.22
02/25/25, 1699.35, 1699.35, 1699.35, 1699.35
02/24/25, 1725.20, 1725.20, 1725.20, 1725.20
02/21/25, 1719.38, 1719.38, 1719.38, 1719.38
02/20/25, 1721.06, 1721.06, 1721.06, 1721.06
02/19/25, 1709.42, 1709.42, 1709.42, 1709.42
02/18/25, 1716.93, 1716.93, 1716.93, 1716.93
02/14/25, 1688.81, 1688.81, 1688.81, 1688.81
02/13/25, 1714.84, 1714.84, 1714.84, 1714.84
02/12/25, 1705.11, 1705.11, 1705.11, 1705.11
02/11/25, 1707.38, 1707.38, 1707.38, 1707.38
02/10/25, 1708.43, 1708.43, 1708.43, 1708.43
02/07/25, 1681.18, 1681.18, 1681.18, 1681.18
02/06/25, 1674.84, 1674.84, 1674.84, 1674.84
02/05/25, 1684.33, 1684.33, 1684.33, 1684.33
02/04/25, 1674.31, 1674.31, 1674.31, 1674.31
