Date,AMZN Percent Change Rate,APPL Percent Change Rate,Bitcoin Percent Change Rate,DOW Percent Change Rate,Ethereum Percent Change Rate,META Percent Change Rate,Solana Percent Change Rate,MSFT Percent Change Rate,S&P 500 Composite Percent Change Rate,NASDAQ Composite Percent Change Rate,S&P Gold Percent Change Rate,NVDA Percent Change Rate,TSLA Percent Change Rate,Oil Percent Change Rate,XMAG Percent Change Rate,Silver Percent Change Rate
2025-10-29,100.45801526717555,100.26022304832712,98.28862370158431,99.84410886848023,98.30898539123474,100.03060789949964,101.43776967847369,99.90407142988911,99.99564642593336,100.54970120646362,100.4420027684466,102.98960354175992,100.2084464227554,101.53053256286115,99.25039808740624,101.2446116135576
2025-10-30,96.769431176726,100.63032999629218,98.76418207295576,99.769314746389,97.41577608142494,88.66523873508322,94.12867815215732,97.08429507894007,99.00951877850808,98.42506637527354,100.379952259106,97.99555641421948,95.36088058763625,100.15382248884784,99.59331971773706,101.46724271074656
2025-10-30,96.769431176726,100.63032999629218,98.76418207295576,99.769314746389,97.41577608142494,88.66523873508322,94.12867815215732,97.08429507894007,99.00951877850808,98.42506637527354,100.379952259106,97.99555641421948,95.36088058763625,100.15382248884784,99.59331971773706,101.48152956240456
2025-10-31,109.58449250650632,99.620486366986,100.39268453427066,100.08574954147667,100.74704057004942,97.28119795339624,101.32331265488588,98.48790322580643,100.26178701149458,100.60989417814406,99.5166995282474,99.80284883434376,103.7400590774824,100.50683458762096,100.26340233247926,99.06203718940266
2025-10-31,109.58449250650632,99.620486366986,100.39268453427066,100.08574954147667,100.74704057004942,97.28119795339624,101.32331265488588,98.48790322580643,100.26178701149458,100.60989417814406,99.5166995282474,99.80284883434376,103.7400590774824,100.50683458762096,100.26340233247926,99.10382028985964
2025-11-01,,,100.32367770817947,,99.9499616286064,,98.9683909883411,,,,,,,,,
2025-11-02,,,98.11782027046677,,97.08516747900838,,95.6426463937286,,,,,,,,,
2025-11-03,104.00458602899025,99.5117801531235,98.9014551551023,99.52443996756293,96.88089474556074,98.35891108197733,93.02461734191252,99.8493655974199,100.17207099207626,100.46263513194543,100.43794240133404,102.168008296706,102.58673558787454,100.53484107579462,99.58288578589332,99.77914115500742
2025-11-03,104.00458602899025,99.5117801531235,98.9014551551023,99.52443996756293,96.88089474556074,98.35891108197733,93.02461734191252,99.8493655974199,100.17207099207626,100.46263513194543,100.43794240133404,102.168008296706,102.58673558787454,100.53484107579462,99.58288578589332,99.76951827242524
2025-11-04,98.15748031496064,100.36796134547484,95.46616717396394,99.46882628862016,91.80860452289023,98.37073277822208,95.15152982184352,99.47778658878596,98.82632294070171,97.9606221512147,98.6670831586064,96.04118329466358,94.85236031342744,98.86000911992704,99.1901414780592,98.42244375533308
2025-11-04,98.15748031496064,100.36796134547484,95.46616717396394,99.46882628862016,91.80860452289023,98.37073277822208,95.15152982184352,99.47778658878596,98.82632294070171,97.9606221512147,98.6670831586064,96.04118329466358,94.85236031342744,98.86000911992704,99.1901414780592,98.41714122026976
2025-11-05,100.35296005133964,100.03703155088132,102.06211862577746,100.4794708490389,103.75039801981389,101.37569342600268,103.24989188226616,98.60595337623704,100.3653520981164,100.64740387448693,100.8183604168564,98.2485278574664,104.00891369918516,97.69372693726936,100.62979710565185,101.55526814698716
