,Date,MSFT Price,MSFT Percent Change Rate
943,01-06-2020,159.03,100.25847938469296
944,01-07-2020,157.58,99.08822234798467
945,01-08-2020,160.09,101.59284173118415
946,01-09-2020,162.09,101.24929727028547
947,01-10-2020,161.34,99.53729409587267
948,01-13-2020,163.28,101.20242965166727
949,01-14-2020,162.13,99.29568838804506
950,01-15-2020,163.18,100.64762844630852
951,01-16-2020,166.17,101.83233239367569
952,01-17-2020,167.1,100.55966781007402
953,01-21-2020,166.5,99.64093357271095
954,01-22-2020,165.7,99.51951951951952
955,01-23-2020,166.72,100.61557030778516
956,01-24-2020,165.04,98.99232245681382
957,01-27-2020,162.28,98.32767813863306
958,01-28-2020,165.46,101.9595760414099
959,01-29-2020,168.04,101.5592892542004
960,01-30-2020,172.78,102.82075696262795
961,01-31-2020,170.23,98.52413473781687
962,02-03-2020,174.38,102.43787816483581
963,02-04-2020,180.12,103.29166188783118
964,02-05-2020,179.9,99.87785920497446
965,02-06-2020,183.63,102.07337409672039
966,02-07-2020,183.89,100.14158906496759
967,02-10-2020,188.7,102.61569416498995
968,02-11-2020,184.44,97.74244833068363
969,02-12-2020,184.71,100.14638906961615
970,02-13-2020,183.71,99.45861079530074
971,02-14-2020,185.35,100.89271133852267
972,02-18-2020,187.23,101.01429727542488
973,02-19-2020,187.28,100.02670512204242
974,02-20-2020,184.42,98.47287483981204
975,02-21-2020,178.59,96.83873766402778
976,02-24-2020,170.89,95.68844840136624
977,02-25-2020,168.07,98.3498156708994
978,02-26-2020,170.17,101.24947938359017
979,02-27-2020,158.18,92.95410471881061
980,02-28-2020,162.01,102.42129219876091
981,03-02-2020,172.79,106.65391025245354
982,03-03-2020,164.51,95.20805602176053
983,03-04-2020,170.55,103.67150933073978
984,03-05-2020,166.27,97.49047200234536
985,03-06-2020,161.57,97.1732723882841
986,03-09-2020,150.62,93.22275174846816
987,03-10-2020,160.92,106.8384012747311
988,03-11-2020,153.63,95.46979865771813
989,03-12-2020,139.06,90.51617522619281
990,03-13-2020,158.83,114.21688479792896
991,03-16-2020,135.42,85.26097084933575
992,03-17-2020,146.57,108.23364347954512
993,03-18-2020,140.4,95.79040731391146
994,03-19-2020,142.71,101.64529914529913
995,03-20-2020,137.35,96.24413145539906
996,03-23-2020,135.98,99.00254823443755
997,03-24-2020,148.34,109.08957199588176
998,03-25-2020,146.92,99.04273965215046
999,03-26-2020,156.11,106.2551048189491
1000,03-27-2020,149.7,95.89392095317403
1001,03-30-2020,160.23,107.03406813627254
1002,03-31-2020,157.71,98.42726081258193
1003,04-01-2020,152.11,96.4491788726143
1004,04-02-2020,155.26,102.07086976530142
1005,04-03-2020,153.83,99.07896431791835
1006,04-06-2020,165.27,107.43678086199051
1007,04-07-2020,163.49,98.92297452653234
1008,04-08-2020,165.13,101.0031194568475
1009,04-09-2020,165.14,100.00605583479683
1010,04-13-2020,165.51,100.22405231924427
1011,04-14-2020,173.7,104.94834148994019
1012,04-15-2020,171.88,98.95221646516984
1013,04-16-2020,177.04,103.0020944845241
1014,04-17-2020,178.6,100.881156800723
1015,04-20-2020,175.06,98.01791713325868
1016,04-21-2020,167.82,95.86427510567805
1017,04-22-2020,173.52,103.39649624597784
1018,04-23-2020,171.42,98.78976486860303
1019,04-24-2020,174.55,101.82592462956484
1020,04-27-2020,174.05,99.71354912632484
1021,04-28-2020,169.81,97.56391841424877
1022,04-29-2020,177.43,104.48736823508628
1023,04-30-2020,179.21,101.00321253452064
1024,05-01-2020,174.57,97.4108587690419
1025,05-04-2020,178.84,102.44601019648279
1026,05-05-2020,180.76,101.07358532766719
1027,05-06-2020,182.54,100.9847311352069
1028,05-07-2020,183.6,100.5806946422702
1029,05-08-2020,184.68,100.58823529411765
1030,05-11-2020,186.74,101.11544292830843
1031,05-12-2020,182.51,97.73481846417478
1032,05-13-2020,179.75,98.48775409566599
1033,05-14-2020,180.53,100.43393602225312
1034,05-15-2020,183.16,101.45682158090068
1035,05-18-2020,184.91,100.95544878794496
1036,05-19-2020,183.63,99.30777134822347
1037,05-20-2020,185.66,101.10548385340086
1038,05-21-2020,183.43,98.79887967251967
1039,05-22-2020,183.51,100.04361336749712
1040,05-26-2020,181.57,98.94283690262111
1041,05-27-2020,181.81,100.13218042628186
1042,05-28-2020,181.4,99.77448985204335
1043,05-29-2020,183.25,101.01984564498345
1044,06-01-2020,182.83,99.77080491132334
1045,06-02-2020,184.91,101.13766887272328
1046,06-03-2020,185.36,100.2433616353902
1047,06-04-2020,182.92,98.68364264134655
1048,06-05-2020,187.2,102.33982068663896
1049,06-08-2020,188.36,100.61965811965814
1050,06-09-2020,189.8,100.76449352304098
1051,06-10-2020,196.84,103.70916754478398
1052,06-11-2020,186.27,94.63015647226175
1053,06-12-2020,187.74,100.7891770011274
1054,06-15-2020,188.94,100.63918184723552
1055,06-16-2020,193.57,102.45051339049434
1056,06-17-2020,194.24,100.34612801570492
1057,06-18-2020,196.32,101.07084019769357
1058,06-19-2020,195.15,99.40403422982885
1059,06-22-2020,200.57,102.77735075582883
1060,06-23-2020,201.91,100.66809592660917
1061,06-24-2020,197.84,97.9842504085979
1062,06-25-2020,200.34,101.26364739183178
1063,06-26-2020,196.33,97.99840271538385
1064,06-29-2020,198.44,101.07472113278664
1065,06-30-2020,203.51,102.5549284418464
1066,07-01-2020,204.7,100.58473785071986
1067,07-02-2020,206.26,100.76209086468002
1068,07-06-2020,210.7,102.15262290313196
1069,07-07-2020,208.25,98.83720930232559
1070,07-08-2020,212.83,102.19927971188476
1071,07-09-2020,214.32,100.7000892731288
1072,07-10-2020,213.67,99.69671519223591
1073,07-13-2020,207.07,96.91112463144101
1074,07-14-2020,208.35,100.61814845221421
1075,07-15-2020,208.04,99.85121190304775
1076,07-16-2020,203.92,98.01961161315131
1077,07-17-2020,202.88,99.48999607689291
1078,07-20-2020,211.6,104.2981072555205
1079,07-21-2020,208.75,98.6531190926276
1080,07-22-2020,211.75,101.437125748503
1081,07-23-2020,202.54,95.65053128689492
1082,07-24-2020,201.3,99.38777525427078
1083,07-27-2020,203.85,101.26676602086437
1084,07-28-2020,202.02,99.10228108903605
1085,07-29-2020,204.06,101.00980100980101
1086,07-30-2020,203.9,99.921591688719
1087,07-31-2020,205.01,100.54438450220695
1088,08-03-2020,216.54,105.62411589678553
1089,08-04-2020,213.29,98.49912256396047
1090,08-05-2020,212.94,99.83590416803413
1091,08-06-2020,216.35,101.60139006292852
1092,08-07-2020,212.48,98.21123180032355
1093,08-10-2020,208.25,98.00922439759037
1094,08-11-2020,203.38,97.66146458583434
1095,08-12-2020,209.19,102.8567214082014
1096,08-13-2020,208.7,99.76576318179646
1097,08-14-2020,208.9,100.09583133684717
1098,08-17-2020,210.28,100.66060315940642
1099,08-18-2020,211.49,100.57542324519689
1100,08-19-2020,209.7,99.15362428483616
1101,08-20-2020,214.58,102.32713400095375
1102,08-21-2020,213.02,99.27299841550936
1103,08-24-2020,213.69,100.31452445779738
1104,08-25-2020,216.47,101.30094997426178
1105,08-26-2020,221.15,102.16196239663695
1106,08-27-2020,226.58,102.45534704951392
1107,08-28-2020,228.91,101.02833436313885
